k.hu,5.0,我的新电子书阅读器,2018年1月12日,性能良好，反应灵敏，外形美观。唯一需要提醒的或许是：如果不选用飞行模式，由于网络不断在搜索和更新，电池储量耗费迅速。所以在不使用的时候，建议关闭无线网络（启用飞行模式），可以大大减少耗电量。
t-mac4869,3.0,新买的kindle容量为什么只有2666MB,2017年6月11日,新入手的kindle，查看容量大小只有2666MB，能给我解释下为什么和宣传的4GB相差这么多么？这些容量都消耗在什么地方了，求一个解释
疾风骤雨,1.0,赠送的电子书券呢？为什么没有了,2018年6月21日,我鄙视亚马逊，我今天查询赠送的电子书赠券，我找不到，我想起我更早前买KINDLE时的电子书赠券也没给我，难道我被黑了还是被忽悠了？
爱看书的丫头,4.0,很喜欢，但是也有一些小问题,2017年12月13日, 轻巧，手感真的特别好，只是翻页的时候有点重影，有时候还有黑屏，不知道怎么回事~是通常说的闪屏么？第一次买，挺喜欢的~电源适配器还要单买有点不人性化！还有，首页总是有广告，怎么才能去掉！这样体验不是很好。
Jane,5.0,499→paperwhite,2017年12月5日,从2014年入手499的小白到今天的paperwhite，也算是kindle的忠实粉丝了。因为对阅读体验有了新的要求，选择带内置灯的paperwhite。平淡无奇仅供阅读，给人以平静舒畅之感。如果你是热爱阅读之人，kindle会是你不悔的选择。至于选择哪一版本，取决于个人追求，有钱买oasis当然更好，囊中羞涩的退而求其次也未尝不可。
飘来飘去,1.0,傲慢无礼的客服,2018年8月20日,这个差评是给傲慢的客服人员的。觉得自己理亏了就挂电话了。太气人了。不想着解决问题，这也不行那也不行的，一味的踢皮球。店大欺客。你们的系统设置有问题，所有的不方便都得顾客承担，霸权主义。
Cindy,5.0,Prime会员还没有送,2017年7月14日,7.11Prime会员日买的，优惠送一年Prime会员，还没有送到账户，什么时候Prime会员送到？咨询了客服，在z.cn/km页面输入设备DSN号，自己领就可以了。
亚马逊买家,1.0,最差的一次购物体验,2018年9月22日,有史以来最差的一次购物体验，因为商品到货时间推迟，因此我到现在仍然没有看到产品，不知道实物状况如何，从发现发货状态异常，我就多次致电亚马逊客服，每个客服都承诺帮我核实并反馈发货信息，但是自始至终我都没有收到过来自客服的任何反馈。系统显示的到货时间总是在最后一天拖延，连续拖延了两次。不过是什么原因，亚马逊的客户服务都让我极其不满，这应该是我最后一次在亚马逊上购物，希望这次寄到的产品没有问题，因为我要一个月后才能看到产品，如果到时发现产品有问题的话，那么这次购物可以说就是非常失败了。
xiaoyu,1.0,买的时候说赠送900多元的电子券收到了但是没法使用,2017年12月25日,买的时候说赠送900多元的电子券没有收到，后来补发给我了。但是我没办法用这个券去购买图书。在给定的书籍里面还是需要去购买才能得到，并没有直接让我下载。
沧桑,5.0,价格贵容易死机,2017年11月14日,刚到只有一半电量，马上开始设置，弄了5-6个小时还有1格电，但死机了两次，屏膜没反应，强制按开关键40秒后重启才行。
